date,value,wa,tract
4/1/2020,41.3,45,23
4/2/2020,42.8,46.7,24
4/3/2020,43.9,47.9,25
4/4/2020,44.5,48.9,26
4/5/2020,45.1,49.7,27
4/6/2020,45.7,50.4,28
4/7/2020,46.2,51.1,29
4/8/2020,46.7,51.7,30
4/9/2020,47.1,52.3,31
4/10/2020,47.5,52.9,32
4/11/2020,47.9,53.4,33
4/12/2020,48.1,53.8,34
4/13/2020,48.5,54.3,35
4/14/2020,49.1,54.7,36
4/15/2020,49.4,55.1,37
4/16/2020,49.8,55.4,38
4/17/2020,50.2,55.7,39
4/18/2020,50.5,56,40
4/19/2020,50.7,56.2,41
4/20/2020,51,56.4,42
4/21/2020,51.6,56.8,43
4/22/2020,51.8,57.1,44
4/23/2020,52.4,57.7,45
4/24/2020,52.8,58.1,46
4/25/2020,53.2,58.5,47
4/26/2020,53.4,58.8,48
4/27/2020,53.7,59.1,49
4/28/2020,54.3,59.7,50
